2026-02-14 21:54:40,117 - INFO - Email configuration loaded from email_config.json
2026-02-14 21:54:40,118 - INFO - Loading reference data from reference.csv
2026-02-14 21:54:41,685 - INFO - Loaded 259397 EIN-to-address mappings
2026-02-14 21:54:41,686 - INFO - ============================================================
2026-02-14 21:54:41,686 - INFO - TopHat API Monitor started at 2026-02-14 21:54:41.686192
2026-02-14 21:54:41,686 - INFO - Mode: FULL SCAN (fetch all records, compare against baseline)
2026-02-14 21:54:41,686 - INFO - ============================================================
2026-02-14 21:54:42,037 - INFO - Loaded 90905 baseline Ids
2026-02-14 21:54:42,039 - WARNING - Couldn't load state file: Illegal trailing comma before end of object: line 4 column 25 (char 98)
2026-02-14 21:54:42,039 - INFO - Fetch all records from API
2026-02-14 21:54:42,040 - INFO - Starting to fetch all records
2026-02-14 21:55:12,684 - INFO - Total records in database: 90910
2026-02-14 21:55:12,685 - INFO - Processed offset 0: found 100 records, 100 total fetched
2026-02-14 21:55:13,793 - INFO - Processed offset 100: found 100 records, 200 total fetched
2026-02-14 21:55:14,902 - INFO - Processed offset 200: found 100 records, 300 total fetched
2026-02-14 21:55:16,011 - INFO - Processed offset 300: found 100 records, 400 total fetched
2026-02-14 21:55:17,106 - INFO - Processed offset 400: found 100 records, 500 total fetched
2026-02-14 21:55:18,216 - INFO - Processed offset 500: found 100 records, 600 total fetched
2026-02-14 21:55:19,310 - INFO - Processed offset 600: found 100 records, 700 total fetched
2026-02-14 21:55:20,427 - INFO - Processed offset 700: found 100 records, 800 total fetched
2026-02-14 21:55:21,535 - INFO - Processed offset 800: found 100 records, 900 total fetched
2026-02-14 21:55:22,629 - INFO - Processed offset 900: found 100 records, 1000 total fetched
2026-02-14 21:55:23,745 - INFO - Processed offset 1000: found 100 records, 1100 total fetched
2026-02-14 21:55:24,857 - INFO - Processed offset 1100: found 100 records, 1200 total fetched
2026-02-14 21:55:26,031 - INFO - Processed offset 1200: found 100 records, 1300 total fetched
2026-02-14 21:55:27,155 - INFO - Processed offset 1300: found 100 records, 1400 total fetched
2026-02-14 21:55:28,272 - INFO - Processed offset 1400: found 100 records, 1500 total fetched
2026-02-14 21:55:29,372 - INFO - Processed offset 1500: found 100 records, 1600 total fetched
2026-02-14 21:55:30,494 - INFO - Processed offset 1600: found 100 records, 1700 total fetched
2026-02-14 21:55:31,608 - INFO - Processed offset 1700: found 100 records, 1800 total fetched
2026-02-14 21:55:32,729 - INFO - Processed offset 1800: found 100 records, 1900 total fetched
2026-02-14 21:55:33,861 - INFO - Processed offset 1900: found 100 records, 2000 total fetched
2026-02-14 21:55:34,955 - INFO - Processed offset 2000: found 100 records, 2100 total fetched
2026-02-14 21:55:36,064 - INFO - Processed offset 2100: found 100 records, 2200 total fetched
2026-02-14 21:55:37,171 - INFO - Processed offset 2200: found 100 records, 2300 total fetched
2026-02-14 21:55:38,278 - INFO - Processed offset 2300: found 100 records, 2400 total fetched
2026-02-14 21:55:39,382 - INFO - Processed offset 2400: found 100 records, 2500 total fetched
2026-02-14 21:55:40,493 - INFO - Processed offset 2500: found 100 records, 2600 total fetched
2026-02-14 21:55:41,612 - INFO - Processed offset 2600: found 100 records, 2700 total fetched
2026-02-14 21:55:42,729 - INFO - Processed offset 2700: found 100 records, 2800 total fetched
2026-02-14 21:55:43,848 - INFO - Processed offset 2800: found 100 records, 2900 total fetched
2026-02-14 21:55:44,969 - INFO - Processed offset 2900: found 100 records, 3000 total fetched
2026-02-14 21:55:46,094 - INFO - Processed offset 3000: found 100 records, 3100 total fetched
2026-02-14 21:55:47,187 - INFO - Processed offset 3100: found 100 records, 3200 total fetched
2026-02-14 21:55:48,293 - INFO - Processed offset 3200: found 100 records, 3300 total fetched
2026-02-14 21:55:49,413 - INFO - Processed offset 3300: found 100 records, 3400 total fetched
2026-02-14 21:55:50,536 - INFO - Processed offset 3400: found 100 records, 3500 total fetched
2026-02-14 21:55:51,643 - INFO - Processed offset 3500: found 100 records, 3600 total fetched
2026-02-14 21:55:52,752 - INFO - Processed offset 3600: found 100 records, 3700 total fetched
2026-02-14 21:55:53,875 - INFO - Processed offset 3700: found 100 records, 3800 total fetched
2026-02-14 21:55:54,991 - INFO - Processed offset 3800: found 100 records, 3900 total fetched
2026-02-14 21:55:56,110 - INFO - Processed offset 3900: found 100 records, 4000 total fetched
2026-02-14 21:55:57,232 - INFO - Processed offset 4000: found 100 records, 4100 total fetched
2026-02-14 21:55:58,353 - INFO - Processed offset 4100: found 100 records, 4200 total fetched
2026-02-14 21:55:59,489 - INFO - Processed offset 4200: found 100 records, 4300 total fetched
2026-02-14 21:56:00,648 - INFO - Processed offset 4300: found 100 records, 4400 total fetched
2026-02-14 21:56:01,833 - INFO - Processed offset 4400: found 100 records, 4500 total fetched
2026-02-14 21:56:02,965 - INFO - Processed offset 4500: found 100 records, 4600 total fetched
2026-02-14 21:56:04,084 - INFO - Processed offset 4600: found 100 records, 4700 total fetched
2026-02-14 21:56:05,204 - INFO - Processed offset 4700: found 100 records, 4800 total fetched
2026-02-14 21:56:06,343 - INFO - Processed offset 4800: found 100 records, 4900 total fetched
2026-02-14 21:56:07,466 - INFO - Processed offset 4900: found 100 records, 5000 total fetched
2026-02-14 21:56:08,584 - INFO - Processed offset 5000: found 100 records, 5100 total fetched
2026-02-14 21:56:09,708 - INFO - Processed offset 5100: found 100 records, 5200 total fetched
2026-02-14 21:56:10,831 - INFO - Processed offset 5200: found 100 records, 5300 total fetched
2026-02-14 21:56:11,951 - INFO - Processed offset 5300: found 100 records, 5400 total fetched
2026-02-14 21:56:13,097 - INFO - Processed offset 5400: found 100 records, 5500 total fetched
2026-02-14 21:56:14,230 - INFO - Processed offset 5500: found 100 records, 5600 total fetched
2026-02-14 21:56:15,346 - INFO - Processed offset 5600: found 100 records, 5700 total fetched
2026-02-14 21:56:16,480 - INFO - Processed offset 5700: found 100 records, 5800 total fetched
2026-02-14 21:56:17,603 - INFO - Processed offset 5800: found 100 records, 5900 total fetched
2026-02-14 21:56:18,719 - INFO - Processed offset 5900: found 100 records, 6000 total fetched
2026-02-14 21:56:19,873 - INFO - Processed offset 6000: found 100 records, 6100 total fetched
2026-02-14 21:56:20,980 - INFO - Processed offset 6100: found 100 records, 6200 total fetched
2026-02-14 21:56:22,098 - INFO - Processed offset 6200: found 100 records, 6300 total fetched
2026-02-14 21:56:23,224 - INFO - Processed offset 6300: found 100 records, 6400 total fetched
2026-02-14 21:56:24,345 - INFO - Processed offset 6400: found 100 records, 6500 total fetched
2026-02-14 21:56:25,468 - INFO - Processed offset 6500: found 100 records, 6600 total fetched
2026-02-14 21:56:26,566 - INFO - Processed offset 6600: found 100 records, 6700 total fetched
2026-02-14 21:56:27,686 - INFO - Processed offset 6700: found 100 records, 6800 total fetched
2026-02-14 21:56:28,806 - INFO - Processed offset 6800: found 100 records, 6900 total fetched
2026-02-14 21:56:29,940 - INFO - Processed offset 6900: found 100 records, 7000 total fetched
2026-02-14 21:56:31,052 - INFO - Processed offset 7000: found 100 records, 7100 total fetched
2026-02-14 21:56:32,249 - INFO - Processed offset 7100: found 100 records, 7200 total fetched
2026-02-14 21:56:33,358 - INFO - Processed offset 7200: found 100 records, 7300 total fetched
2026-02-14 21:56:34,461 - INFO - Processed offset 7300: found 100 records, 7400 total fetched
2026-02-14 21:56:35,574 - INFO - Processed offset 7400: found 100 records, 7500 total fetched
2026-02-14 21:56:36,711 - INFO - Processed offset 7500: found 100 records, 7600 total fetched
2026-02-14 21:56:37,878 - INFO - Processed offset 7600: found 100 records, 7700 total fetched
2026-02-14 21:56:38,993 - INFO - Processed offset 7700: found 100 records, 7800 total fetched
2026-02-14 21:56:40,235 - INFO - Processed offset 7800: found 100 records, 7900 total fetched
2026-02-14 21:56:41,354 - INFO - Processed offset 7900: found 100 records, 8000 total fetched
2026-02-14 21:56:42,589 - INFO - Processed offset 8000: found 100 records, 8100 total fetched
2026-02-14 21:56:43,711 - INFO - Processed offset 8100: found 100 records, 8200 total fetched
2026-02-14 21:56:44,856 - INFO - Processed offset 8200: found 100 records, 8300 total fetched
2026-02-14 21:56:45,976 - INFO - Processed offset 8300: found 100 records, 8400 total fetched
2026-02-14 21:56:47,101 - INFO - Processed offset 8400: found 100 records, 8500 total fetched
2026-02-14 21:56:48,223 - INFO - Processed offset 8500: found 100 records, 8600 total fetched
2026-02-14 21:56:49,351 - INFO - Processed offset 8600: found 100 records, 8700 total fetched
2026-02-14 21:56:50,574 - INFO - Processed offset 8700: found 100 records, 8800 total fetched
2026-02-14 21:56:51,804 - INFO - Processed offset 8800: found 100 records, 8900 total fetched
2026-02-14 21:56:53,034 - INFO - Processed offset 8900: found 100 records, 9000 total fetched
2026-02-14 21:56:54,168 - INFO - Processed offset 9000: found 100 records, 9100 total fetched
2026-02-14 21:56:55,282 - INFO - Processed offset 9100: found 100 records, 9200 total fetched
2026-02-14 21:56:56,392 - INFO - Processed offset 9200: found 100 records, 9300 total fetched
2026-02-14 21:56:57,538 - INFO - Processed offset 9300: found 100 records, 9400 total fetched
2026-02-14 21:56:58,767 - INFO - Processed offset 9400: found 100 records, 9500 total fetched
2026-02-14 21:56:59,996 - INFO - Processed offset 9500: found 100 records, 9600 total fetched
2026-02-14 21:57:01,223 - INFO - Processed offset 9600: found 100 records, 9700 total fetched
2026-02-14 21:57:02,344 - INFO - Processed offset 9700: found 100 records, 9800 total fetched
2026-02-14 21:57:03,460 - INFO - Processed offset 9800: found 100 records, 9900 total fetched
2026-02-14 21:57:04,605 - INFO - Processed offset 9900: found 100 records, 10000 total fetched
2026-02-14 21:57:05,834 - INFO - Processed offset 10000: found 100 records, 10100 total fetched
2026-02-14 21:57:07,062 - INFO - Processed offset 10100: found 100 records, 10200 total fetched
2026-02-14 21:57:08,188 - INFO - Processed offset 10200: found 100 records, 10300 total fetched
2026-02-14 21:57:09,316 - INFO - Processed offset 10300: found 100 records, 10400 total fetched
2026-02-14 21:57:10,543 - INFO - Processed offset 10400: found 100 records, 10500 total fetched
2026-02-14 21:57:11,773 - INFO - Processed offset 10500: found 100 records, 10600 total fetched
2026-02-14 21:57:12,894 - INFO - Processed offset 10600: found 100 records, 10700 total fetched
2026-02-14 21:57:14,128 - INFO - Processed offset 10700: found 100 records, 10800 total fetched
2026-02-14 21:57:15,358 - INFO - Processed offset 10800: found 100 records, 10900 total fetched
2026-02-14 21:57:16,586 - INFO - Processed offset 10900: found 100 records, 11000 total fetched
2026-02-14 21:57:17,706 - INFO - Processed offset 11000: found 100 records, 11100 total fetched
2026-02-14 21:57:18,941 - INFO - Processed offset 11100: found 100 records, 11200 total fetched
2026-02-14 21:57:20,172 - INFO - Processed offset 11200: found 100 records, 11300 total fetched
2026-02-14 21:57:21,402 - INFO - Processed offset 11300: found 100 records, 11400 total fetched
2026-02-14 21:57:22,527 - INFO - Processed offset 11400: found 100 records, 11500 total fetched
2026-02-14 21:57:23,754 - INFO - Processed offset 11500: found 100 records, 11600 total fetched
2026-02-14 21:57:24,982 - INFO - Processed offset 11600: found 100 records, 11700 total fetched
2026-02-14 21:57:26,209 - INFO - Processed offset 11700: found 100 records, 11800 total fetched
2026-02-14 21:57:27,339 - INFO - Processed offset 11800: found 100 records, 11900 total fetched
2026-02-14 21:57:28,566 - INFO - Processed offset 11900: found 100 records, 12000 total fetched
2026-02-14 21:57:29,793 - INFO - Processed offset 12000: found 100 records, 12100 total fetched
2026-02-14 21:57:31,023 - INFO - Processed offset 12100: found 100 records, 12200 total fetched
2026-02-14 21:57:32,255 - INFO - Processed offset 12200: found 100 records, 12300 total fetched
2026-02-14 21:57:33,480 - INFO - Processed offset 12300: found 100 records, 12400 total fetched
2026-02-14 21:57:34,709 - INFO - Processed offset 12400: found 100 records, 12500 total fetched
2026-02-14 21:57:35,937 - INFO - Processed offset 12500: found 100 records, 12600 total fetched
2026-02-14 21:57:37,167 - INFO - Processed offset 12600: found 100 records, 12700 total fetched
2026-02-14 21:57:38,324 - INFO - Processed offset 12700: found 100 records, 12800 total fetched
2026-02-14 21:57:39,524 - INFO - Processed offset 12800: found 100 records, 12900 total fetched
2026-02-14 21:57:40,749 - INFO - Processed offset 12900: found 100 records, 13000 total fetched
2026-02-14 21:57:41,979 - INFO - Processed offset 13000: found 100 records, 13100 total fetched
2026-02-14 21:57:43,208 - INFO - Processed offset 13100: found 100 records, 13200 total fetched
2026-02-14 21:57:44,436 - INFO - Processed offset 13200: found 100 records, 13300 total fetched
2026-02-14 21:57:45,665 - INFO - Processed offset 13300: found 100 records, 13400 total fetched
2026-02-14 21:57:46,893 - INFO - Processed offset 13400: found 100 records, 13500 total fetched
2026-02-14 21:57:48,121 - INFO - Processed offset 13500: found 100 records, 13600 total fetched
2026-02-14 21:57:49,253 - INFO - Processed offset 13600: found 100 records, 13700 total fetched
2026-02-14 21:57:50,476 - INFO - Processed offset 13700: found 100 records, 13800 total fetched
2026-02-14 21:57:51,704 - INFO - Processed offset 13800: found 100 records, 13900 total fetched
2026-02-14 21:57:52,829 - INFO - Processed offset 13900: found 100 records, 14000 total fetched
2026-02-14 21:57:54,058 - INFO - Processed offset 14000: found 100 records, 14100 total fetched
2026-02-14 21:57:55,287 - INFO - Processed offset 14100: found 100 records, 14200 total fetched
2026-02-14 21:57:56,517 - INFO - Processed offset 14200: found 100 records, 14300 total fetched
2026-02-14 21:57:57,746 - INFO - Processed offset 14300: found 100 records, 14400 total fetched
2026-02-14 21:57:58,975 - INFO - Processed offset 14400: found 100 records, 14500 total fetched
2026-02-14 21:58:00,171 - INFO - Processed offset 14500: found 100 records, 14600 total fetched
2026-02-14 21:58:01,327 - INFO - Processed offset 14600: found 100 records, 14700 total fetched
2026-02-14 21:58:02,556 - INFO - Processed offset 14700: found 100 records, 14800 total fetched
2026-02-14 21:58:03,785 - INFO - Processed offset 14800: found 100 records, 14900 total fetched
2026-02-14 21:58:05,015 - INFO - Processed offset 14900: found 100 records, 15000 total fetched
2026-02-14 21:58:06,347 - INFO - Processed offset 15000: found 100 records, 15100 total fetched
2026-02-14 21:58:07,576 - INFO - Processed offset 15100: found 100 records, 15200 total fetched
2026-02-14 21:58:08,804 - INFO - Processed offset 15200: found 100 records, 15300 total fetched
2026-02-14 21:58:09,960 - INFO - Processed offset 15300: found 100 records, 15400 total fetched
2026-02-14 21:58:11,159 - INFO - Processed offset 15400: found 100 records, 15500 total fetched
2026-02-14 21:58:12,387 - INFO - Processed offset 15500: found 100 records, 15600 total fetched
2026-02-14 21:58:13,616 - INFO - Processed offset 15600: found 100 records, 15700 total fetched
2026-02-14 21:58:14,758 - INFO - Processed offset 15700: found 100 records, 15800 total fetched
2026-02-14 21:58:15,971 - INFO - Processed offset 15800: found 100 records, 15900 total fetched
2026-02-14 21:58:17,129 - INFO - Processed offset 15900: found 100 records, 16000 total fetched
2026-02-14 21:58:18,324 - INFO - Processed offset 16000: found 100 records, 16100 total fetched
2026-02-14 21:58:19,553 - INFO - Processed offset 16100: found 100 records, 16200 total fetched
2026-02-14 21:58:20,699 - INFO - Processed offset 16200: found 100 records, 16300 total fetched
2026-02-14 21:58:21,831 - INFO - Processed offset 16300: found 100 records, 16400 total fetched
2026-02-14 21:58:23,035 - INFO - Processed offset 16400: found 100 records, 16500 total fetched
2026-02-14 21:58:24,172 - INFO - Processed offset 16500: found 100 records, 16600 total fetched
2026-02-14 21:58:25,394 - INFO - Processed offset 16600: found 100 records, 16700 total fetched
2026-02-14 21:58:26,621 - INFO - Processed offset 16700: found 100 records, 16800 total fetched
2026-02-14 21:58:27,764 - INFO - Processed offset 16800: found 100 records, 16900 total fetched
2026-02-14 21:58:28,974 - INFO - Processed offset 16900: found 100 records, 17000 total fetched
2026-02-14 21:58:30,112 - INFO - Processed offset 17000: found 100 records, 17100 total fetched
2026-02-14 21:58:31,329 - INFO - Processed offset 17100: found 100 records, 17200 total fetched
2026-02-14 21:58:32,497 - INFO - Processed offset 17200: found 100 records, 17300 total fetched
